classification,text
Fashion & Beauty,"From Ring to Veil is a wedding planning podcast hosted by Shannon Palmer and Kim Mills. They have years of experience in the wedding industry and the podcast world. Kim and Shannon want to share their knowledge and expertise from flowers and décor to venues and photographers. Together they make the perfect team to bring all sorts of wedding planning tools, tips, and tricks as well as expert information. The knowledge and secrets shared by expert guest hosts make this the perfect place for you to plan with confidence.
Taking the stress out and put the fun back into wedding planning."
Outdoor,Video clips from SurfingCal.com.
Language Courses,"Learn modern German vocabulary fast using Language addicts unique familiarise, recognise, memorise method. Regular three part podcasts will help you learn German vocabulary in categorised manageable chunks."
Aviation,"First podcast from Chris Turke a first officer and cockpit procedures training instructor at a regional airline. Talk about regional airlines, landings, and topics to come in an informal and conversational manner. Leave some feedback and tell Chris what you want to talk about while he shares a unique perspective from the right seat of a Crj-200 cockpit and the life of a regional pilot."
Society & Culture,"AnxieTEA: Sex, Pop, Issues and Advice with two gays just as lost as you!

Host: Zara Barrie & Donny Meacham"
Literature,"A Podcast of Ice and Fire is your audible source for everything in the world of George R.R. Martin's A Song of Ice and Fire book series. Our podcast is a ridiculous, fun amalgamation of series news, theories, discussion, and opinions, as well as dedicated reviews of HBO's Game of Thrones episodes.  Warning: podcast episodes contain spoilers for all published ASOIAF books, explicit content on par with the series content, and constant references to creaking doors."
Philosophy,"Another GREAT SHOW via Law of Attraction Radio Network - http://LoaRadioNetwork.com.  Law of Attraction Talk Radio is where Science merges with spirituality and metaphysics as we explore the Universal Law of Attraction.  

Join as we talk to the experts on how to create the life we have always wanted through Conscious Creation, Deliberate Creation, Self-Improvement and Self-powerment.  We can experience miracles through listening to positive and inspirational radio that keeps you plugged into the Law of Attraction.

Previous guests have been Dr. Bruce Lipton, Gregg Braden, Lynne McTaggart, Byron Katie, Joe Vitale, Jo Dunning, David Wilcock, Jill Bolte Taylor, Gary Zukav, John Assaraf and Robert Holden.  We have many Hay House Authors and Radio show hosts as well as guests that appears on Oprah Winfrey Show, Good Morning America, Larry King Live and the Today Show.

Another great show brought to you by the Law of Attraction Radio Network."
Fitness & Nutrition,"News, Interviews, Music, Vegan Culture, and more. Vegan Radio features co-hosts Megan Shackelford, Derek Goodwin, and Scott Lahteine, who bring their irreverent wit and sane perspectives to bear on the serious subjects that the show deals with. We typically feature the latest news in the vegan movement, followed by interviews with interesting guests and music by vegan musicians. This show is also broadcast on FM radio in western Massachusetts."
History,"On February 12, 1971, in Durham, North Carolina, a 20 year-old nursing student and her 19 year-old boyfriend left a Valentine's Dance to park down a secluded lover's lane. They never returned. Two weeks later, their bodies were found deep within the Carolina pines. They had been strangled, tortured, and murdered.
Their murders have never been solved. 
THE LONG DANCE is the story of the lives touched by the murders of Patricia Mann and Jesse McBane. Produced by crime fiction author Eryk Pruitt, investigative reporter Drew Adamek, and sound engineer Piper Kessler, it uses recorded interviews to tell the tragic tale of North Carolina's most baffling murder case. The eight-part true crime podcast is perfect for fans of SERIAL and S-TOWN."
Food,"Stephen and Panda Gail Smithson welcome you into their home while they enjoy one of their favorite past-times: drinking good beer.  Episodes are typically between 10 and 15 minutes, so you can even enjoy this show during your break at work."
Social Sciences,"Duke economist and New York Times best-selling author Dan Ariely (""Predictably Irrational,"" ""Payoff: The Hidden Logic That Shapes Our Motivations"" is your host for a weekly series of informal one-on-one chats with researchers in social and natural sciences."
Christianity,"A daily bible reading from the New English Translation, by Michael Lee"
Natural Sciences,"Hillbilly Horror Stories is a mostly paranormal show hosted by stand up comedian Jerry Paulley and his wife Tracy. They touch on all things eerie including true stories behind your favorite horror movies, Rock n Roll and the occult, unsolved mysteries and creepy true crime. Serious enough for the true paranormal fan but funny enough for the skeptics! Proud member of Dark Myths Collective."
Investing,"30-year financial talk radio veteran, Don McDonald and former host of Serious Money on PBS, Tom Cock, reunite on a weekly call-in program talking about real money issues. Each week they solve real money problems, dole out real investing (not speculating) advice, and really explain the financial issues that effect all of us. It's a show designed to provide the real help we all need to enjoy a really great future. Call in your questions anytime at 855-935-TALK (8255)."
Design,"UPDATE: Metalsmith Benchtalk is taking a break indefinitely and no longer broadcasting live. Please enjoy over 6 years of archived shows in the meantime. Thank you for listening! 
 
Metalsmith Benchtalk is hosted by Master Goldsmith Jay Whaley, owner of Whaley Studios, and co-hosted and technically produced by his student of 2 years, Ashley Elizabeth Kendrick, (Aly). 
Whaley Studios is all things jewelry and the art of metalsmithing. Teaching has been a passion of Jay's for some time- he served as the head jewelery instructor at the University of California, San Diego, Crafts Center for over two decades and is also the owner/operator of Whaley Studios in the Hillcrest District of San Diego, and the inventor of many fine metalsmithing tools. 
""Jay is willing to tackle challenging issues within the craft community and invite a wide range of personalities. There is nothing else like it!"" - Harriete Estel Berman 

During our program, our intention is to feature artists in the craft and discuss, educate, problem solve and entertain callers while we consider topics of interest in the metalsmithing and jewelry making trades."
Training,"This podcast will be a history narrative collected from various sources.  I will be covering the stories of events and people that played a part in creating America.  My goal is to give the listener an entertaining dialog of history and walk away (or ear away) with a, “I didn’t know that”, feeling."
Music,"The Roadhouse is a 60-minute weekly podcast of the best independent blues from around the world. Featuring a mixture of independent artists and permissions-based music from independent blues labels, it's 60 minutes of the finest blues you've never heard. An Association of Music Podcasting feed, The Roadhouse is dedicated to the independent blues artist."
Shopping,"A podcast series featuring four weekly episodes each month devoted to the Who's Who and the many happenings in McKinney.
Each weekly Podcast episode is professionally produced by FriedoNation Productions and co-hosted by Ron Hunt and Mark ""Friedo"" Friedman (formerly with Sportsradio 1310 the Ticket and ESPNRadio).
Episodes will be roughly 30 minutes in length and will showcase local community leaders discussing topics that McKinney citizens want to know more about."
Education,Cell (www.cell.com) is a peer-reviewed journal publishing the most interesting discoveries in biology.
Society & Culture,"The Nod tells the stories of Black life that don’t get told anywhere else, from an explanation of how purple drink became associated with Black culture to the story of how an interracial drag troupe traveled the nation in the 1940s. We celebrate the genius, the innovation, and the resilience that is so particular to being Black -- in America, and around the world."
Automotive,"Racing driver Jon Miller talks shop with people who do what they love for a living in the motorsports industry and beyond. “Any man’s life, told truly, is a novel.” - EH"
Aviation,"Aviation Stories told by pilots, recounting the triumphs, failures, and lessons learned from their aviation adventures.  For more information check out our web site http://www.avstry.com."
Medicine,"A short, focused discussion of emergency medicine topics with perspectives from emergency physicians as well as other specialties. Here's the problem: When I listen to a 45 minute lecture that goes through about 15 different studies and has 50 slides, I come out feeling like a genius. An hour later, I have forgotten 95% of it. Here's the solution: ercast. We cover a single issue and try to tease out all the relevant elements without overstuffing your frontal cortex. It's for physicians and anyone interested in a bare bones look at emergency care."
Local,BAPJC.org brings to the Bay Area EMS Community quarterly CE dinner talks that feature 3 hours of up-to-date research topics.
Fitness & Nutrition,"Authentic, unfiltered conversations about health, nutrition, fitness, mindset, and body image. The show (formerly known as The Paleo Women Podcast) is hosted by Noelle Tarr, Nutritional Therapy Practitioner and Certified Personal Trainer, and Stefani Ruper, author of the best-selling book Sexy By Nature. Expect real talk, moderately amusing banter, and empowering advice for women, from women. Find more from Noelle at coconutsandkettlebells.com, and Stefani at paleoforwomen.com."
Non-Profit,"A Sustainable Mind is a podcast created for the earth-conscious individual, ecopreneur, environmental activist,  sustainability enthusiast, grassroots organizer, minimalist, conscious consumer and the eco-curious. If you are looking to get inspired, motivated and take ACTION to be the change you want to see in the world you are in the right place. Delivered to you each week, Marjorie Alexander brings you environmental changemakers whose campaigns, companies and projects have changed the planet for the better. Featured guests discuss their relationship with nature early on, their journey to a green career, light-bulb moments, sustainable habits, lessons from launching their projects, and much more. Each episode ends with ACTIONABLE advice and resources for you to hit the ground running!"
Christianity,In Portland as it is in Heaven. All teachings are available to stream and download at bridgetown.church.
Comedy,"Every week we talk about Sex, Drugs & Rock 'n Roll with people like Gene Simmons, Jennifer Esposito, the Impractical Jokers, from porn stars to KISS, how many people has the KISS rockstar slept with? Find it all out on the SDR show. The SDR Show (Sex, Drugs, & Rock-n-Roll) is a one hour weekly podcast featuring radio host, Ralph Sutton and comedian, Big Jay Oakerson. Each week they interview Porn Stars, Rock Stars, and more. Big Jay Oakerson has been on the stand up circuit for over a decade, has had his own comedy special on comedy central, was the opening act for Korn on the Rockstar Energy Tour, as well as many various TV shows and comedy tours. Ralph Sutton has been the host of a nationally syndicated rock radio show for over a decade, has been a VJ on VH1-Classic, as well as the host on various tv shows, Shiprocked, M3 Rock Festival, and the Sturgis Motorcycle rally. Great guests like: Sal from Impractical Jokers, Gene Simmons of Kiss, Porn Star Lisa Ann and so much more! The newest 15 episodes are always free, but if you want access to all the archives, watch live, chat live, access to the forums, and get the show a week before it comes out everywhere else - you can subscribe now at gasdigitalnetwork.com and use the code SDR to save 15% on the entire network."
Shopping,"Buying a used car can be an expensive business. So who better than Quentin Willson to share so some clear simple advice from what to buy, where to buy it, what to look out for on a test drive and how to get the best price."
Fitness & Nutrition,"Aaron Alexander interviews world renowned health care thinkers and lifestyle enhancing experts including Ben Greenfield, Robb Wolf, Shawn Stevenson, Abel James, Mark Sisson, Jon Lee Dumas, Jonathan Bailor and Kelly Starrett on their perspectives on optimal living, bio-hacking, fitness, endurance, strength, diet, flexibility, lifestyle, sex, style and more!"
Investing,"The Best Stocks To Buy is a brand of Conner Management Group, LLC, an SEC registered money manager.  We use our own proprietary algorithm, not available anywhere else, to review, analyze and rank over 6,000 stocks every week for the benefit of our clients and online subscribers. We leverage growth and value investing principles."
News & Politics,Amanpour is CNN International's flagship global affairs interview program hosted by Chief International Correspondent Christiane Amanpour.
TV & Film,"Topical discussion, daily motivation, DIY and other tutorials, industry interviews, and product reviews. The complete podcast for the independent filmmaker."
Aviation,"{Ace Abbott utilizes the archives of his 36 year aviation career that took him to 44 countries for his aviation-themed interviews. His layover venues varied from tents in Korea, to five-star hotels in Paris, and jail cells in Venezuela. After a 5 ½ year career in the Air Force that allowed him to fly F-4 Phantom fighter jets throughout the Far East, he returned to civilian life to become a Learjet charter pilot.
His many flights from South Florida to nearly every island in the Caribbean and most of the Latin American countries was complemented with his chauffeuring of the rich and famous. He flew such celebrities as Jack Nicklaus, John Glenn, Evil Knievel, Jimmy Buffett, Helen Reddy and Olivia Newton-John, as well as Crosby, Stills, Nash and Young. He also smuggled Bob Marley from Kingston, Jamaica when Marley’s life was in danger.
Ace spent his final 22 years as a Boeing 727 Captain for numerous airlines, most of which went out of business. His 10 airlines in 10 years is likely an unenviable record. The subtitle of his book, The Rogue Aviator is: ""in the back alleys of aviation."" Ace's book provides an insider’s view of a professional pilot’s life on the other side of the tracks.}"
Natural Sciences,"The most interesting people in the world of science and technology.



STEM-Talk is an interview podcast show produced by the Florida Institute for Human and Machine Cognition, a not-for-profit research lab pioneering ground-breaking technologies aimed at leveraging and extending human cognition, perception, locomotion and resilience. Twice a month, we talk to groundbreaking scientists, engineers and technologists. Our interviews focus on the science that our subjects are engaged with, as well as their careers, motivations, education, and passions. Think of them as “profiles in science.” Tune in every other Tuesday to our show—and if you like us, please write a review of STEM-talk on iTunes—and spread the word. "
News & Politics,"Politics! We know you love them just as much as we do. Join comedian Ben Kissel and radio man Marcus Parks each week as they discuss what's going on in politics and the world of social issues. Also, a complete archive of Top Hat can be found at cavecomedyradio.com!"
Outdoor,Detailed coverage of professional bass fishing and the industry behind the game of professional bass fishing.
Literature,"Enthusiast Jacke Wilson journeys through the history of literature, from ancient epics to contemporary classics.

Find out more at historyofliterature.com and facebook.com/historyofliterature."
National,Podcast with occasional episodes to help plan your trip to Yosemite
Fitness & Nutrition,"A free, weekly podcast where Robb answers your questions about Paleo nutrition, intermittent fasting, training, fitness, and more."
Social Sciences,"We tell the stories of haunted places, ghost encounters, cryptid encounters, the paranormal, preternatural, and every oddity imaginable. And we have a few laughs while we're at it! Join your hosts Adam & Matt in their discussions of these topics and email them your thoughts at GraveYardTalesPodcast@gmail.com (mailto:GraveYardTalesPodcast@gmail.com)
We thank you for joining us in the GraveYard!"
Aviation,The Plane Faith Podcast is a podcast about missionary aviation and the stories of missionary aviators who have taken seriously Jesus's command to go and make disciples of all nations and are using airplanes to be his witnesses at the ends of the earth.
Arts,"Straight from the knowledgeable KEXP DJs to your ears, now you can listen to a wonderfully eclectic mix of full length songs. KEXP brings you the music that matters from some of its favorite artists from the Pacific Northwest and around the world. See what KEXP's all about at KEXP.ORG. 286548"
History,"An ongoing series of specially produced histories, bringing to life the stories and secrets that shaped cinema. @moviehistories secrethistoryofhollywood.com www.patreon.com/attaboysecret"
Society & Culture,"Ira Madison III, culture critic and columnist, is joined each week by comedians, journalists, actors, musicians, activists, politicians and more for a conversation at the intersection of pop culture and politics at a time when we're all obsessing over both. Movies! Music! Terrible tweets by celebrities trying to seem engaged while bragging about their latest project! This show has it all. New episodes every Wednesday."
Business News,"Knowledge@Wharton is the online business analysis journal of the Wharton School of the University of Pennsylvania.  The site, which is free, captures relevant knowledge generated at Wharton and beyond by offering articles and videos based on research, conferences, speakers, books and interviews with faculty and other experts on global business topics."
History,A biweekly podcast covering the last great war. Join Ray Harris Jr as he explores World War Two in intimate detail.
Natural Sciences,"MonsterTalk: The Science Show About Monsters is a free audio podcast that critically examines the science behind cryptozoological (and legendary) creatures, such as Bigfoot, the Loch Ness Monster, or werewolves."
Natural Sciences,"Welcome to the Cannabis Cultivation and Science podcast, I’m your host, Tad Hussey of KIS Organics. This is the podcast where we discuss the cutting edge of organic growing from a science based perspective and draw in top experts from around the industry to share their wisdom and knowledge. If you want to hear the latest in growing technology and methods, this is the place."
Performing,"Imagine a mashup of detective noir, intergalactic conflict, time travel, tales of the old west, stories of the world wars, comedy, and a sprinkle of romance. Hard to imagine? Maybe so…but not impossible. ""Roswell B.C. (Before the Crash)"" is an audio drama which follows the space and time travel adventures of an alien detective as he helps his latest client find her brother…a brother last seen two galaxies away and headed for earth – more specifically a place called Roswell."
National,"Small things can make all the difference! Every business day, we bring you easily digestible campaign tips that will help you win at the ballot box. You'll learn something new in each episode, as you listen to My Campaign Coach Founder, Raz Shafer, present some of the most powerful tips he's learned. With each episode packing campaign winning tips in just 60-90 seconds, you don't have the time NOT to listen!"
Shopping,"Welcome to The Illuminative Podcast! Hosted by April Bernal-Cleek, founder/ owner of Illuminative, LLC, the podcast features engaging interviews with prominent thought leaders and world-changers as well as empowering messages from April to help build your direct sales business and create positive change in your life. Stay connected with America's most impactful emerging brand."
Training,"Rondi exposes what the banks, credit bureaus and collection companies don’t want you to know about your credit report, and how important your credit score actually is, on his radio show ""Your Credit Matters"" - Rondi Lambeth is a Certified FICO Credit Professional, Speaker and Author. He is one of the most sought after speakers because of his depth of experience and knowledge in financial and credit matters. In addition to the daily talk show, Rondi also can be heard on multiple stations across the US. Rondi has been featured in the Wall Street Journal, heard and seen on Fox News, ESPN, NBC, and ABC. Rondi is a serial entrepreneur and a retired firefighter. Rondi’s passion is to provide education & resources to families who seek financial literacy & self-sufficiency. Do yourself and your family a favor, and call Rondi at 800.475.7267 to schedule a FREE credit consultation or visit his website at BadCreditIsAChoice.com. -"
Literature,"Just the Right Book is a podcast hosted by Roxanne Coady, owner of famous independent bookstore R.J. Julia Booksellers in Madison, CT, that will help you discover new and note-worthy books in all genres, give you unique insights into your favorite authors, and bring you up to date with what’s happening in the literary world."
Investing,"The House Flipping Podcast with Justin Williams brings you interviews and insights from top house flipping and real estate investing professionals.  House Flipping HQ is the ultimate online house flipping resource with tips, guides, case studies and tutorials on everything you need to know to get started as a real estate investor, and the House Flipping Podcast is where you get an inside look at how house flipping is done, the RIGHT way!  No empty fluff ... just actionable, helpful information you can use TODAY."
Music,The weekly RA Podcast features an exclusive mix of electronic music from top producers and DJs around the world. Resident Advisor is an online electronic music magazine. Visit RA online at www.residentadvisor.net
Sports & Recreation,Daily news from around the wide world of college football.
Music,"Sundays at 3:00 PM on WHUP FM 104.7, Hillisborough, NC."
National,Resources related to FEMA Think Tank conference calls.
Design,"We explore and discuss philosophies, professions, trends, and advice regarding all things creative. We feature a variety of creative professionals to hear their thoughts and experiences in the creative world."
Comedy,"Did you ever go to a comedy club and see the comics at the back table laughing hysterically? Did you ever wish you could hear what they were talking about? Hosted by Robert Kelly, The 'You Know What Dude' podcast provides you a seat at that table as comedians new and old try to one up and out wit each other. 

Credits don’t matter here.  No topics, no filter, a true comic hang. The 'You Know What Dude' podcast with Robert Kelly...oh and it’s funny as hell. "
Non-Profit,Healing Hidden Wounds takes an in depth look into real problems which demand real solutions.
Aviation,Not Found
National,"The Police Podcast brings together police officers, the agencies they represent and the communities they serve. We discuss current events, social media, best practices when dealing with the police and the lives our officers live. When we aren't talking with officers, we talk to business leaders in industries that can have positive impacts on helping agencies and officers do better jobs. Experts from communications, finance, equipment and training bring their real world knowledge to help inform and educate our nation's protectors."
Places & Travel,"Exploring the world with points, miles and a bit of crazy."
Higher Education,"At the University of Chicago, research and teaching in human rights integrate exploration of the core questions of human dignity with critical examination of the institutions designed to promote and protect human rights in the contemporary world. The University of Chicago Human Rights Program is an initiative unique among its peers for the interdisciplinary focus its faculty and students bring to bear on these essential matters. The Distinguished Lecturer series creates space for dialogue between the University community and the wider world through sponsoring visits to campus by prominent human rights activists and scholars."
Social Sciences,Turn your TV to a random channel and you may well find people in poorly-lit rooms hunting for ghosts. These shows claim to present evidence for the paranormal. How well do those claims measure up?
Food,"Join Travis and David each week as they discuss all things meat. Travis is a butcher with a strong background in slaughter and retail, as well as sausage and charcuterie production. David is a small-scale intensive farmer; he manages rotationally grazed livestock and butchers them for direct-to consumer-sale. He’s also worked in retail meats and as a chef. They’ve both worked alone on mobile slaughter units, and they both like Waylon Jennings."
Christianity,"Somebody Loves You features systematic & comprehensible teaching of God's Word with Pastor Raul Ries. The radio program, airing Monday through Friday, is designed to equip listeners with the necessary tools to live out their faith."
Higher Education,"إيش بتسوي برنامج نتكلم فيه عن التخصصات و المهن ونستضيف فيه خبراء و مختصين. حنسألهم عن الجانب الدراسي والجانب المهني عشان نقرب المسافة بين المهتمين في هذه المجالات وبين أصحاب الخبرة. المستضيفين هم عبدالحميد الصبان، أشرف فادن، و محمد حماده.



Hear and learn about different careers and professions from the people in the field. They tell us about their journey and how they got there. Biweekly with new episodes every friday"
Non-Profit,"Trade experts Scott Miller and Bill Reinsch break down the buzz around trade, how it affects policy, and how it impacts your day-to-day. The Trade Guys is hosted every week by H. Andrew Schwartz at the Center for Strategic and International Studies (CSIS), a nonpartisan think tank in Washington, D.C. Email your questions to TradeGuys@csis.org."
Language Courses,"SpanishPod101.com is an innovative and fun way of learning the Spanish language and culture at your own convenience and pace. Our language training system consists of free daily podcast audio lessons, video lessons, Spanish Word of the Day, a premium learning center, and a vibrant user community. Stop by SpanishPod101.com today for a Premium 7-Day Free Trial and Lifetime Account to even more fun, fast and easy Spanish lessons!"
Natural Sciences,Did you miss the live radio show? Catch up with Mike and Peggy and their unique perspective on all things green right here on the podcast page!
Food,"Emphasizing the fact that being vegan is a means rather than an end in itself, the Food for Thought podcast addresses all aspects of eating and living compassionately and healthfully. Each episode addresses commonly asked questions about being vegan, including those regarding animal protection, food, cooking, eating, and nutrition — and debunks the myths surrounding these issues. Hosted by bestselling author Colleen Patrick-Goudreau, Food for Thought has been changing lives for over a dozen years. Learn more at ColleenPatrickGoudreau.com."
Business News,"Pro Say is a weekly podcast from Law360, bringing you a quick recap of both the biggest stories and the hidden gems from the world of law. Each episode, hosts Amber McKinney, Bill Donahue and Alex Lawson are joined by expert guests to bring you inside the newsroom and break down the stories that had us talking."
Music,"Adam Beyer's music is synonymous with all that is exciting about electronic music today. Having emerged as the figure head of the hugely prolific Swedish techno scene Beyer has now confirmed his position as a globally recognized DJ and producer, headlining the world's finest events week in week out. 

His acclaimed Drumcode label has been at the cutting edge of club music for well over a decade; now for the first time Adam takes to the airwaves with a new weekly radio show. 

Featuring exclusive live performances, cutting edge studio mixes, artist profiles and previews of exciting material on the Drumcode labels, this show is set to be a sure fire hit with electronic music fans worldwide."
Careers,"Welcome to the Future of Agriculture Podcast with Tim Hammerich. This show looks into the diversity that is agriculture and agribusiness.

The global population is expected to reach 9 billion by 2050 and agriculture is expected to produce more with less land and less water. Agribusiness will be part of the future to constantly innovate and finding sustainable ways of meeting the challenges of tomorrow.

Visit AgGrad.com today to get connected to careers in the agriculture industry."
Non-Profit,MBG: Orchid Show 2007
Hobbies,"WineMaking Radio an audio show about making wine. Interviews, technical tips, product reviews, and news of interest to people who make wine."
Comedy,"Join host Scott Aukerman (""Comedy Bang! Bang!"" on IFC, ""Mr. Show"") for a weekly podcast that blends conversation and character work from today's funniest comedians. While Scott begins by traditionally interviewing the celebrities, the open-door policy means an assortment of eccentric oddballs can pop by at any moment to chat, compete in games, and engage in comic revelry. With all that, and regular bonus episodes, we bet your favorite part will still be the plugs!
Looking for the archives? All episodes older than 6 months can be found exclusively on Stitcher Premium, ad-free. Go to stitcher.com/premium and use promo code EARWOLF for 1 month free (and $5 off the annual plan!)"
Non-Profit,"Join your hosts Sarai Johnson, and Jerrica Becken as they discuss the ins and outs of nonprofits with some of the sector's most talented and passionate luminaries."
Shopping,"A podcast about the wild and wonderful world of small business and independent retail, hosted by the owners of Avenues Dry Goods."
Local,"Check out the latest feature program from SpringsTV, the City of Colorado Springs' video studio. Updating weekly, this podcast can be anything from a showcase of another great City park to a look inside the newest creative programs that strive to use your tax dollars in the most efficient way possible."
Medicine,"The Doctor Paradox is about addressing why despite having incredibly meaningful jobs, doctors are increasingly unhappy in their work. 
Quite simply, it is a tragedy that we have allowed this to happen. That intensely passionate, dynamic and altruistic individuals have lost their core passions and found themselves adrift in the world of healthcare is unacceptable.
The Doctor Paradox focuses on 4 key issues:
1. The factors that explain why doctors are dissatisfied with the world of healthcare.
But more importantly…
2. The physicians that have rediscovered their passions and carved new paths, both within and outside of traditional healthcare.
3. The experts who offer insight on topics related to the challenges faced and the mechanisms to address them such as sleep deprivation, burnout, career advice and philosophical perspectives.
4. The strategies to rediscover your passion, find a new course and pursue what is required to find fulfillment.
A primary responsibility of physicians is to add value and meaning to our patients lives and that of our own.
To fulfill only one of these criteria is not enough. Without value and meaning in our own lives it is almost impossible to provide it to that of our patients.
As physicians, we hold a most privileged position. We intersect with our patients lives, often in their darkest hour, with them asking for our help. For physicians to sustainably provide that help, they must first and foremost help themselves. Not to do so will ultimately degrade one of the most sacred of relationships: that of the patient in need and the doctor who can tend to that need.
The Doctor Paradox also serves to explore a ‘New Medicine’ where the traditional model of what it means to be a doctor has changed. That the doctor of the future will still be adding immense value and meaning to patients lives but may be doing so in ways not conventionally pursued before. The physicians of the future will help patients across a spectrum of care, from face to face clinical encounters to designing and developing novel technologies that will significantly impact the lives of patients. For a ‘New Medicine’ we need a ‘New Doctor’.
The future of medicine is bright but unless we begin a major course correction, physicians drift toward ever increasing uncertainty.
As the famous saying goes:
“Things always get worse…. before they get worse”.
It is up to us as physicians to effect the changes we wish to see in our own lives and in doing so, ultimately that of our patients.
Things are getting worse, let’s make them better.
We are ‘standing on the shoulders of giants’, so it’s not that we ought to, it’s that we have to."
Non-Profit,"The Nation’s Blind Podcast is where you’ll hear all about what’s going on with the National Federation of the Blind. We will cover an array of topics, what’s in the news, and the Presidential Privilege."
Comedy,"Desus Nice (@Desusnice) and The Kid Mero (@thekidmero) are the Bodega Boys 
https://twitter.com/BodegaBoys"
Medicine,Not Found
Social Sciences,"The Social Work Podcast provides audio programs on services provided by social workers, including direct practice, human behavior in the social environment, research, policy, field work, and social work education."
Automotive,"Mike Brewer is the automotive, Brit with wit and along with his co-host; American car expert, Brad Fanshaw they offer a humorous and informative podcast. This show has the latest in automotive news, opinions, a funny look at car culture and a variety of listener questions each week. Mike Brewer is the international star of Wheeler Dealers on Discovery Networks and Brad Fanshaw has starred as the co-host of Car Warriors. The two have an incredible amount of enthusiasm and knowledge for the collector car world.  Follow on Instagram @MikeBrewer @bonspeedBrad"
Fitness & Nutrition,Michael Greger M.D. FACLM brings you the latest in nutrition-related research delivered in easy to understand video segments.
Training,"Description

Want to eliminate public speaking fear and become a more poised and confident presenter and speaker? Then Fearless Presentations is the answer. This podcast is based on our famous two-day presentation skills class offered in cities all over the world."
Society & Culture,"Coffee Convos is hosted by Kail Lowry of MTV's Teen Mom and Lindsie Chrisley of USA Network's Chrisley Knows Best. These two reality stars come from totally different worlds, but have become close through their shared experiences as mothers, reality stars, and women. They share who they really are and talk about the issues they face every day. They don't always agree, but they love to have lively discussions about motherhood, friendship, television, family, and life in the public eye. Coffee Convos will feature all the latest in their busy lives, recommendations for other moms, and rants about trying to balance it all."
Local,"Whether you live in our state or far from our shores, you’ll know what’s happening in Hawaii with a daily hour of locally-focused discussions of public affairs, ideas, culture and the arts. Guests from around the block and around the world provide perspectives on life in the islands and issues that have not yet reached Hawaii. Have something to say? Send a comment, conversation suggestion or a Backyard Quiz to talkback@hawaiipublicradio.org . You can also reach us on our talkback line at 808-792-8217. Remember to tell us your name and where you're from. Share your comments about the show in a short 30-second message and then we'll play some of them in future shows. The production team is Lillian Tsang , Ryan Finnerty , and Amber Khan-Gruspe. Click the photos for individual stories and their audio! *Audio and digital content will be posted daily by 2 pm."
Aviation,"Why We Fly is a General Aviation podcast sharing pilot stories that illustrate the reasons behind why we choose to fly airplanes. We hope to share the adventure, excitement, and incredible experiences of flying. The goal is to entertain pilots and more importantly to inspire potential pilots to learn more about flying and hopefully one day become pilots themselves. Almost anyone can fly. We are here to share the Why."
Self-Help,"Live Life Better is a conversational podcast from actor Scott Eastwood with industry leading guests including health/fitness/mind/body/spirit professionals, entertainers, researchers, scientists, reporters, adventurers, explorers and others."
Investing,"Based on Bridgewater Associates Co-founder, Co-CIO and Chairman, Ray Dalio's practical template for understanding the economy, ""How the Economic Machine Works"" breaks down economic concepts like credit, deficits and interest rates, fostering a better understanding of the basic driving forces behind the economy, how economic policies work and why economic cycles occur.  ""How the Economic Machine Works"" is available as a 30-minute animated video on YouTube and EconomicPrinciples.org"
